mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
1,37,13,1.3135045855796698e-5,2.1219955759279837e-4,accuracy,multiclass,0.3915154318583518,10,8.967906506156724e-4,Preprocessor1_Model01
1,37,13,1.3135045855796698e-5,2.1219955759279837e-4,roc_auc,hand_till,0.6099540156739547,10,0.00108387692804239,Preprocessor1_Model01
23,40,8,2.824005544671086e-10,8.301201845327661,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model02
23,40,8,2.824005544671086e-10,8.301201845327661,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model02
17,8,1,0.0258743117992954,5.534097879974223e-10,accuracy,multiclass,0.42790088864734416,10,0.0014997610963632503,Preprocessor1_Model03
17,8,1,0.0258743117992954,5.534097879974223e-10,roc_auc,hand_till,0.5950309426153139,10,0.0014207536369996452,Preprocessor1_Model03
1,34,7,7.853159952169779e-5,6.703182607548388e-9,accuracy,multiclass,0.3914450668043685,10,8.909814509436881e-4,Preprocessor1_Model04
1,34,7,7.853159952169779e-5,6.703182607548388e-9,roc_auc,hand_till,0.6018152524973439,10,9.679014675155749e-4,Preprocessor1_Model04
20,21,6,0.004809453090903668,1.072292237366558e-6,accuracy,multiclass,0.456497055168472,10,0.0014210069433722161,Preprocessor1_Model05
20,21,6,0.004809453090903668,1.072292237366558e-6,roc_auc,hand_till,0.6324925752409103,10,0.0013388938795818074,Preprocessor1_Model05
5,39,5,5.531243968890824e-10,0.4570869788556115,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model06
5,39,5,5.531243968890824e-10,0.4570869788556115,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model06
2,35,13,9.542024425052929e-10,3.810861499781085e-9,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model07
2,35,13,9.542024425052929e-10,3.810861499781085e-9,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model07
6,18,12,0.08384378447387021,0.12703044374621714,accuracy,multiclass,0.7174230352947435,10,0.00161255514879618,Preprocessor1_Model08
6,18,12,0.08384378447387021,0.12703044374621714,roc_auc,hand_till,0.8656147729797182,10,8.284933177428974e-4,Preprocessor1_Model08
20,38,7,1.1773595037934132e-7,5.533446921431593e-10,accuracy,multiclass,0.45891057889672643,10,0.0015173039894189266,Preprocessor1_Model09
20,38,7,1.1773595037934132e-7,5.533446921431593e-10,roc_auc,hand_till,0.6231286878888902,10,0.0013164039814919642,Preprocessor1_Model09
23,22,14,2.614930191195913e-4,3.220051702529681e-6,accuracy,multiclass,0.5215491346366886,10,0.0016762636603720531,Preprocessor1_Model10
23,22,14,2.614930191195913e-4,3.220051702529681e-6,roc_auc,hand_till,0.7228643343643388,10,0.0010039292609820808,Preprocessor1_Model10
7,36,3,0.06790517525300052,2.965822226882156e-9,accuracy,multiclass,0.4504949765687153,10,8.930202126398164e-4,Preprocessor1_Model11
7,36,3,0.06790517525300052,2.965822226882156e-9,roc_auc,hand_till,0.6272794616149459,10,0.001331079175636763,Preprocessor1_Model11
14,9,9,0.07561851339438862,1.7692423268259614e-9,accuracy,multiclass,0.6802705883263982,10,0.0019894990975371746,Preprocessor1_Model12
14,9,9,0.07561851339438862,1.7692423268259614e-9,roc_auc,hand_till,0.8429960004165593,10,6.271714907110877e-4,Preprocessor1_Model12
10,14,3,5.786706464617082e-5,3.2381773473444343e-4,accuracy,multiclass,0.4051802382978599,10,9.446917004692761e-4,Preprocessor1_Model13
10,14,3,5.786706464617082e-5,3.2381773473444343e-4,roc_auc,hand_till,0.5961217600773154,10,0.001343126534479563,Preprocessor1_Model13
7,11,3,5.802221353654336e-7,2.981856538535625e-10,accuracy,multiclass,0.39694757599979386,10,9.932888778145495e-4,Preprocessor1_Model14
7,11,3,5.802221353654336e-7,2.981856538535625e-10,roc_auc,hand_till,0.5967101836704477,10,0.0013123400635461659,Preprocessor1_Model14
17,17,8,1.8018968035670065e-10,6.832356675115086e-5,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model15
17,17,8,1.8018968035670065e-10,6.832356675115086e-5,roc_auc,hand_till,0.5,10,0,Preprocessor1_Model15
18,22,2,0.00661774987032041,8.209017462372303,accuracy,multiclass,0.42729577067177577,10,0.0015136701742176194,Preprocessor1_Model16
18,22,2,0.00661774987032041,8.209017462372303,roc_auc,hand_till,0.5960625263435992,10,0.0013778024276723344,Preprocessor1_Model16
17,39,2,6.02017592785915e-5,0.006215776688576283,accuracy,multiclass,0.4023656504973304,10,8.360497415751839e-4,Preprocessor1_Model17
17,39,2,6.02017592785915e-5,0.006215776688576283,roc_auc,hand_till,0.5875346633449011,10,0.0013497893687428064,Preprocessor1_Model17
19,24,5,2.3249506708353478e-8,18.09530898889681,accuracy,multiclass,0.29853565338671717,10,0.0011270872942962394,Preprocessor1_Model18
19,24,5,2.3249506708353478e-8,18.09530898889681,roc_auc,hand_till,0.5000688329325806,10,2.3791864224033306e-5,Preprocessor1_Model18
14,3,13,0.05334114082396917,0.9086472503941444,accuracy,multiclass,0.810381660777677,10,0.0011397641651383153,Preprocessor1_Model19
14,3,13,0.05334114082396917,0.9086472503941444,roc_auc,hand_till,0.9316138740459552,10,4.116546370357332e-4,Preprocessor1_Model19
9,22,14,2.8307993707310543e-6,0.026935836157452264,accuracy,multiclass,0.5029799447366411,10,0.0013845356792831591,Preprocessor1_Model20
9,22,14,2.8307993707310543e-6,0.026935836157452264,roc_auc,hand_till,0.6994488137869521,10,0.0011894195837141499,Preprocessor1_Model20
15,36,13,1.326943127844366e-5,1.030427715358352e-9,accuracy,multiclass,0.48776711503159836,10,0.001524260928820272,Preprocessor1_Model21
15,36,13,1.326943127844366e-5,1.030427715358352e-9,roc_auc,hand_till,0.6807683446041173,10,0.0012297141081287497,Preprocessor1_Model21
12,32,2,2.7051539346527976e-6,1.1581070609607406e-7,accuracy,multiclass,0.3951392093624608,10,9.948988202600597e-4,Preprocessor1_Model22
12,32,2,2.7051539346527976e-6,1.1581070609607406e-7,roc_auc,hand_till,0.589196629585812,10,0.0013546609132697703,Preprocessor1_Model22
