mtry,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
8,17,2,0.0017566800134958171,2.799216510147765e-8,accuracy,multiclass,0.3979959580669949,10,0.0011942214847508478,Preprocessor1_Model01
8,17,2,0.0017566800134958171,2.799216510147765e-8,roc_auc,hand_till,0.603713684953894,10,9.816569333006343e-4,Preprocessor1_Model01
14,3,6,1.2600463079966403e-5,1.6236151728723688e-10,accuracy,multiclass,0.4499250297321244,10,0.0012324325928108975,Preprocessor1_Model02
14,3,6,1.2600463079966403e-5,1.6236151728723688e-10,roc_auc,hand_till,0.6265187118272391,10,8.08249916377009e-4,Preprocessor1_Model02
20,17,10,0.0069177801276204196,0.01601259902258108,accuracy,multiclass,0.528888149262127,10,0.0010515576038162004,Preprocessor1_Model03
20,17,10,0.0069177801276204196,0.01601259902258108,roc_auc,hand_till,0.7226012417178015,10,7.655227732883295e-4,Preprocessor1_Model03
2,37,14,0.001976247941391558,15.179087349956157,accuracy,multiclass,0.42390415566064615,10,0.0016027503109846961,Preprocessor1_Model04
2,37,14,0.001976247941391558,15.179087349956157,roc_auc,hand_till,0.6263483993476898,10,7.975268067187614e-4,Preprocessor1_Model04
16,33,4,0.07408504840226575,2.9140612689199644e-4,accuracy,multiclass,0.48054067142107343,10,9.885163067052587e-4,Preprocessor1_Model05
16,33,4,0.07408504840226575,2.9140612689199644e-4,roc_auc,hand_till,0.6656107631481851,10,8.36772203541472e-4,Preprocessor1_Model05
7,21,8,6.440098000014676e-7,5.7959027389847334e-9,accuracy,multiclass,0.46030381033248585,10,9.027292026161097e-4,Preprocessor1_Model06
7,21,8,6.440098000014676e-7,5.7959027389847334e-9,roc_auc,hand_till,0.6428026859389455,10,7.837808449157438e-4,Preprocessor1_Model06
7,37,6,1.4619958866648853e-6,1.0448992499146277e-10,accuracy,multiclass,0.440179522734467,10,0.001507227700596935,Preprocessor1_Model07
7,37,6,1.4619958866648853e-6,1.0448992499146277e-10,roc_auc,hand_till,0.625220406340312,10,8.075152250849821e-4,Preprocessor1_Model07
15,23,3,3.270404828890831e-5,6.943309635547911e-7,accuracy,multiclass,0.42291909144719936,10,0.0013268915015836097,Preprocessor1_Model08
15,23,3,3.270404828890831e-5,6.943309635547911e-7,roc_auc,hand_till,0.6044596904900603,10,9.137553895929477e-4,Preprocessor1_Model08
8,40,10,0.020526189412256566,2.112864414532876e-10,accuracy,multiclass,0.5399424203190059,10,0.0011777362159216128,Preprocessor1_Model09
8,40,10,0.020526189412256566,2.112864414532876e-10,roc_auc,hand_till,0.7266706663566489,10,9.826287505549027e-4,Preprocessor1_Model09
10,35,12,3.309286160049318e-10,1.619540560724979e-4,accuracy,multiclass,0.2985356954728564,10,0.0011756552030633151,Preprocessor1_Model10
