Variable,Importance
number_diagnoses,27.57285740042376
num_medications,16.00426334664227
discharge_disposition,11.991169835981523
num_lab_procedures,5.218055152515219
age,2.027007252862266
race,-0.5667291373960561
rosiglitazone,-0.9140932189366201
pioglitazone,-1.4801195327933707
time_in_hospital,-1.5573135954873785
glyburide,-3.226429662251378
diag_1,-4.853600122058386
A1Cresult,-5.136005524636988
glipizide,-5.49802074243259
gender,-5.776012819373667
diag_2,-5.978173000123618
diag_3,-6.141864969485167
num_procedures,-13.650490564243103
insulin,-15.396081320107447
admission_type,-15.909185535046221
metformin,-16.77322515381804
admission_source,-17.87333520996459
diabetesMed,-19.71297038185483
change,-21.180884132812682
